movie,year,release_date,character,total_whoas_in_movie
Babes in Toyland,1986,1986-12-19,Jack Fenton / Jack-be-Nimble,2
The Night Before,1988,1988-04-15,Winston Connelly,11
The Prince of Pennsylvania,1988,1988-10-10,Rupert Marshetta,1
Bill & Ted's Excellent Adventure,1989,1989-02-17,Ted Logan,26
I Love You to Death,1990,1990-04-06,Marlon James,1
Tune in Tomorrow,1990,1990-10-26,Martin Loader,1
Point Break,1991,1991-07-12,Johnny Utah,7
Bill & Ted's Bogus Journey,1991,1991-07-19,Ted Logan / Evil Ted,28
The Matrix,1999,1999-03-31,Thomas A. Anderson / Neo,6
Sweet November,2001,2001-02-16,Nelson Moss,11
Knock Knock,2015,2015-10-09,Evan Webber,12
The Neon Demon,2016,2016-06-24,Hank,5
Toy Story 4,2019,2019-06-21,Duke Caboom,1
Bill & Ted Face the Music,2020,2020-08-28,Ted Logan,5
The Matrix Resurrections,2021,2021-12-22,Thomas A. Anderson / Neo,1
