movie,year,release_date_x,character_x,total_whoas_in_movie,title,release_date_y,character_y,revenue
Babes in Toyland,1986,1986-12-19,Jack Fenton / Jack-be-Nimble,2,Babes in Toyland,1986-12-19,Jack Fenton / Jack-be-Nimble,
The Night Before,1988,1988-04-15,Winston Connelly,11,The Night Before,1988-04-15,Winston Connelly,
The Prince of Pennsylvania,1988,1988-10-10,Rupert Marshetta,1,The Prince of Pennsylvania,1988-10-10,Rupert Marshetta,
Bill & Ted's Excellent Adventure,1989,1989-02-17,Ted Logan,26,Bill & Ted's Excellent Adventure,1989-02-17,Ted 'Theodore' Logan,
I Love You to Death,1990,1990-04-06,Marlon James,1,I Love You to Death,1990-04-06,Marlon James,
Tune in Tomorrow,1990,1990-10-26,Martin Loader,1,,,,
Point Break,1991,1991-07-12,Johnny Utah,7,Point Break,1991-07-12,Johnny Utah,
Bill & Ted's Bogus Journey,1991,1991-07-19,Ted Logan / Evil Ted,28,Bill & Ted's Bogus Journey,1991-07-19,Ted,
The Matrix,1999,1999-03-31,Thomas A. Anderson / Neo,6,The Matrix,1999-03-31,Neo,
Sweet November,2001,2001-02-16,Nelson Moss,11,Sweet November,2001-02-16,Nelson Moss,
Knock Knock,2015,2015-10-09,Evan Webber,12,Knock Knock,2015-06-26,Evan Webber,
The Neon Demon,2016,2016-06-24,Hank,5,The Neon Demon,2016-05-31,Hank,
Toy Story 4,2019,2019-06-21,Duke Caboom,1,Toy Story 4,2019-06-19,Duke Caboom (voice),
Bill & Ted Face the Music,2020,2020-08-28,Ted Logan,5,Bill & Ted Face the Music,2020-08-27,Ted,
The Matrix Resurrections,2021,2021-12-22,Thomas A. Anderson / Neo,1,The Matrix Resurrections,2021-12-16,Neo / Thomas Anderson,
